,genus,species,mamm,mass.kg,wingspan.m,wingarea.m2,AR,WL,diet,diet1,diet2,comment,comment1,
1,Eidolon,helvum,bat,0.274,0.777,0.0879,6.8683617747,30.5795221843,fn,f,n,,,
2,Rousetus,aegyptiacus,bat,0.14,0.572,0.0558,5.8635125448,24.6129032258,fn,f,n,fast fliers,within vegetation,
3,Pteropus,vampyrus,bat,1.179,1.3,0.2,8.45,57.82995,fn,f,n,,,
4,Epomophorus,anurus,bat,0.073,0.428,0.0307,5.9669055375,23.3267100977,fn,f,n,,,
5,Micropteropus,pusillus,bat,0.0211,0.378,0.0164,8.7124390244,12.621402439,fn,f,n,,,
6,Harpionycteris,celebenis,bat,0.104,0.566,0.0529,6.055879017,19.2862003781,f,f,f,,,
7,Nyctimene,aello,bat,0.089,0.542,0.0473,6.2106553911,18.4585623679,f,f,f,,,
8,Eonycteris,spelaea,bat,0.0428,0.434,0.0218,8.6401834862,19.26,n,n,n,,,
9,Macroglossus,minimus,bat,0.0135,0.264,0.0108,6.4533333333,12.2625,n,n,n,,,
10,Rhinopoma,hardwickii,bat,0.0163,0.28,0.0114,6.8771929825,14.0265789474,i,i,i,,,
11,Emballonura,monticola,bat,0.0053,0.264,0.009,7.744,5.777,i,i,i,,,
12,Taphozous,melanopogon,bat,0.0391,0.385,0.0148,10.0152027027,25.9169594595,i,i,i,,,
13,Nycteris,thebaica,bat,0.011,0.307,0.0171,5.5116374269,6.3105263158,i,i,i,slow fliers,within vegetation,
14,Megaderma,lyra,bat,0.0375,0.44,0.0312,6.2051282051,11.7908653846,ci,c,i,,,
15,Macroderma,gigas,bat,0.123,0.66,0.0717,6.0753138075,16.8288702929,ci,c,i,,,
16,Rhinolophus,ferrumequinum,bat,0.0226,0.332,0.0182,6.0562637363,12.1816483516,i,i,i,,,
17,Rhinolophus,hipposideros,bat,0.0068,0.231,0.0094,5.6767021277,7.0965957447,i,i,i,,,
18,Hipposideros,bicolor,bat,0.0062,0.249,0.01,6.2001,6.0822,i,i,i,,,
19,Hipposideros,commersoni,bat,0.089,0.654,0.0556,7.6927338129,15.703057554,i,i,i,,,
20,Noctilio,leporinus,bat,0.059,0.584,0.038,8.9751578947,15.2313157895,pif,p,i,,,
21,Pteronotus,davyi,bat,0.0109,0.334,0.0134,8.3250746269,7.9797761194,i,i,i,slow fliers,open areas,
22,Mormoops,megalophylla,bat,0.017,0.325,0.0149,7.0889261745,11.1926174497,i,i,i,,,
23,Macrotus,californicus,bat,0.0141,0.295,0.0136,6.3988970588,10.1706617647,if,i,f,,,
24,Mimon,crenulatum,bat,0.0148,0.386,0.0179,8.3237988827,8.1110614525,if,i,f,,,
25,Phillostomus,discolor,bat,0.0422,0.416,0.0262,6.6051908397,15.8008396947,fin,f,i,,,
26,Phillostomus,hastatus,bat,0.107,0.562,0.0417,7.5741966427,25.171942446,fic,f,i,,,
27,Vampyrum,spectrum,bat,0.158,0.676,0.0844,5.4144075829,18.3646919431,cifn,c,i,,,
28,Glossophaga,soricina,bat,0.0106,0.252,0.0099,6.4145454545,10.5036363636,nfi,n,f,,,
29,Anoura,geoffroyi,bat,0.0141,0.282,0.0111,7.1643243243,12.4613513514,nfi,n,f,,,
30,Carollia,brevicaudata,bat,0.0157,0.262,0.0124,5.5358064516,12.4207258065,f,f,f,,,
31,Carollia,perspicillata,bat,0.0191,0.316,0.0165,6.0518787879,11.3558181818,fin,f,i,,,
32,Sturnira,lilium,bat,0.015,0.281,0.0121,6.5257024793,12.1611570248,fni,f,n,,,
33,Uroderma,bilobatum,bat,0.0154,0.307,0.015,6.2832666667,10.0716,fi,f,i,,,
34,Vampyrops,helleri,bat,0.0133,0.27,0.0114,6.3947368421,11.445,fi,f,i,,,
35,Artibeus,jamaicensis,bat,0.047,0.42,0.0277,6.3682310469,16.6451263538,fin,f,i,,,
36,Stenoderma,rufum,bat,0.0223,0.266,0.012,5.8963333333,18.23025,f,f,f,,,
